cued,subj,EVR,Trl,Rep,hiPchoice,hiprob,lomag,loprob,himag
1,304,0.6667,63,8,1,0.8,1,0.2,2
1,304,0.8235,91,8,1,0.8,3,0.2,5
1,304,1,88,8,1,0.8,3,0.2,4
1,304,-0.9091,85,9,0,0.6,1,0.4,4
1,304,-0.7273,86,9,0,0.7,1,0.3,5
1,304,-0.5263,94,9,0,0.7,1,0.3,4
1,304,-0.2857,77,9,1,0.6,2,0.4,4
1,304,0,76,9,1,0.6,2,0.4,3
1,304,0.3333,75,9,1,0.7,3,0.3,5
1,304,0.4615,95,9,1,0.8,2,0.2,5
1,304,0.6667,66,9,1,0.8,1,0.2,2
1,304,0.8235,97,9,1,0.8,3,0.2,5
1,304,1,92,9,1,0.8,3,0.2,4
1,304,-0.9091,87,10,0,0.6,1,0.4,4
1,304,-0.7273,89,10,0,0.7,1,0.3,5
1,304,-0.5263,99,10,0,0.7,1,0.3,4
1,304,-0.2857,82,10,0,0.6,2,0.4,4
1,304,0,84,10,1,0.6,2,0.4,3
1,304,0.3333,80,10,1,0.7,3,0.3,5
1,304,0.4615,98,10,1,0.8,2,0.2,5
1,304,0.6667,93,10,1,0.8,1,0.2,2
1,304,0.8235,100,10,1,0.8,3,0.2,5
1,304,1,96,10,1,0.8,3,0.2,4
1,305,-0.9091,10,1,0,0.6,1,0.4,4
1,305,-0.7273,7,1,0,0.7,1,0.3,5
1,305,-0.5263,18,1,1,0.7,1,0.3,4
1,305,-0.2857,2,1,0,0.6,2,0.4,4
1,305,0,1,1,1,0.6,2,0.4,3
1,305,0.3333,4,1,1,0.7,3,0.3,5
1,305,0.4615,11,1,1,0.8,2,0.2,5
1,305,0.6667,32,1,1,0.8,1,0.2,2
1,305,0.8235,6,1,1,0.8,3,0.2,5
1,305,1,27,1,1,0.8,3,0.2,4
1,305,-0.9091,14,2,0,0.6,1,0.4,4
1,305,-0.7273,9,2,0,0.7,1,0.3,5
1,305,-0.5263,21,2,1,0.7,1,0.3,4
1,305,-0.2857,3,2,1,0.6,2,0.4,4
1,305,0,8,2,1,0.6,2,0.4,3
1,305,0.3333,5,2,0,0.7,3,0.3,5
1,305,0.4615,19,2,1,0.8,2,0.2,5
1,305,0.6667,37,2,1,0.8,1,0.2,2
1,305,0.8235,23,2,1,0.8,3,0.2,5
1,305,1,30,2,1,0.8,3,0.2,4
1,305,-0.9091,25,3,0,0.6,1,0.4,4
1,305,-0.7273,12,3,0,0.7,1,0.3,5
1,305,-0.5263,24,3,1,0.7,1,0.3,4
1,305,-0.2857,16,3,0,0.6,2,0.4,4
1,305,0,13,3,1,0.6,2,0.4,3
1,305,0.3333,15,3,1,0.7,3,0.3,5
1,305,0.4615,22,3,1,0.8,2,0.2,5
1,305,0.6667,46,3,1,0.8,1,0.2,2
1,305,0.8235,40,3,1,0.8,3,0.2,5
1,305,1,44,3,1,0.8,3,0.2,4
1,305,-0.9091,29,4,0,0.6,1,0.4,4
1,305,-0.7273,17,4,1,0.7,1,0.3,5
1,305,-0.5263,48,4,0,0.7,1,0.3,4
1,305,-0.2857,35,4,1,0.6,2,0.4,4
1,305,0,26,4,1,0.6,2,0.4,3
1,305,0.3333,20,4,1,0.7,3,0.3,5
1,305,0.4615,41,4,1,0.8,2,0.2,5
1,305,0.6667,56,4,1,0.8,1,0.2,2
1,305,0.8235,59,4,1,0.8,3,0.2,5
1,305,1,68,4,1,0.8,3,0.2,4
1,305,-0.9091,42,5,0,0.6,1,0.4,4
1,305,-0.7273,33,5,0,0.7,1,0.3,5
1,305,-0.5263,49,5,0,0.7,1,0.3,4
1,305,-0.2857,39,5,1,0.6,2,0.4,4
1,305,0,28,5,0,0.6,2,0.4,3
1,305,0.3333,34,5,1,0.7,3,0.3,5
1,305,0.4615,47,5,0,0.8,2,0.2,5
1,305,0.6667,60,5,1,0.8,1,0.2,2
1,305,0.8235,67,5,1,0.8,3,0.2,5
1,305,1,75,5,1,0.8,3,0.2,4
1,305,-0.9091,51,6,0,0.6,1,0.4,4
1,305,-0.7273,36,6,1,0.7,1,0.3,5
1,305,-0.5263,53,6,1,0.7,1,0.3,4
1,305,-0.2857,61,6,1,0.6,2,0.4,4
1,305,0,31,6,1,0.6,2,0.4,3
1,305,0.3333,38,6,1,0.7,3,0.3,5
1,305,0.4615,52,6,1,0.8,2,0.2,5
1,305,0.6667,66,6,1,0.8,1,0.2,2
1,305,0.8235,79,6,1,0.8,3,0.2,5
1,305,1,81,6,1,0.8,3,0.2,4
1,305,-0.9091,55,7,1,0.6,1,0.4,4
1,305,-0.7273,54,7,0,0.7,1,0.3,5
1,305,-0.5263,62,7,1,0.7,1,0.3,4
1,305,-0.2857,69,7,1,0.6,2,0.4,4
1,305,0,45,7,1,0.6,2,0.4,3
1,305,0.3333,43,7,1,0.7,3,0.3,5
1,305,0.4615,70,7,1,0.8,2,0.2,5
1,305,0.6667,77,7,1,0.8,1,0.2,2
1,305,0.8235,80,7,1,0.8,3,0.2,5
1,305,1,85,7,1,0.8,3,0.2,4
1,305,-0.9091,64,8,0,0.6,1,0.4,4
1,305,-0.7273,65,8,0,0.7,1,0.3,5
1,305,-0.5263,63,8,1,0.7,1,0.3,4
1,305,-0.2857,93,8,1,0.6,2,0.4,4
1,305,0,50,8,1,0.6,2,0.4,3
1,305,0.3333,57,8,1,0.7,3,0.3,5
1,305,0.4615,78,8,1,0.8,2,0.2,5
1,305,0.6667,88,8,1,0.8,1,0.2,2
1,305,0.8235,87,8,1,0.8,3,0.2,5
1,305,1,91,8,1,0.8,3,0.2,4
1,305,-0.9091,73,9,1,0.6,1,0.4,4
1,305,-0.7273,71,9,0,0.7,1,0.3,5
1,305,-0.5263,82,9,1,0.7,1,0.3,4
1,305,-0.2857,95,9,1,0.6,2,0.4,4
1,305,0,58,9,1,0.6,2,0.4,3
1,305,0.3333,76,9,1,0.7,3,0.3,5
1,305,0.4615,90,9,1,0.8,2,0.2,5
1,305,0.6667,89,9,1,0.8,1,0.2,2
1,305,0.8235,96,9,1,0.8,3,0.2,5
1,305,1,94,9,1,0.8,3,0.2,4
1,305,-0.9091,84,10,1,0.6,1,0.4,4
1,305,-0.7273,74,10,0,0.7,1,0.3,5
1,305,-0.5263,83,10,1,0.7,1,0.3,4
1,305,-0.2857,99,10,1,0.6,2,0.4,4
1,305,0,72,10,1,0.6,2,0.4,3
1,305,0.3333,86,10,1,0.7,3,0.3,5
1,305,0.4615,92,10,1,0.8,2,0.2,5
1,305,0.6667,98,10,1,0.8,1,0.2,2
1,305,0.8235,100,10,1,0.8,3,0.2,5
1,305,1,97,10,1,0.8,3,0.2,4
1,306,-0.9091,21,1,0,0.6,1,0.4,4
1,306,-0.7273,3,1,0,0.7,1,0.3,5
1,306,-0.5263,2,1,1,0.7,1,0.3,4
1,306,-0.2857,1,1,0,0.6,2,0.4,4
1,306,0,18,1,0,0.6,2,0.4,3
1,306,0.3333,4,1,1,0.7,3,0.3,5
1,306,0.4615,8,1,1,0.8,2,0.2,5
1,306,0.6667,19,1,0,0.8,1,0.2,2
1,306,0.8235,15,1,1,0.8,3,0.2,5
1,306,1,7,1,1,0.8,3,0.2,4
1,306,-0.9091,52,2,1,0.6,1,0.4,4
1,306,-0.7273,14,2,0,0.7,1,0.3,5
1,306,-0.5263,10,2,0,0.7,1,0.3,4
1,306,-0.2857,5,2,0,0.6,2,0.4,4
